Artista,Prodotto,Reported Royalty,Percentuale Royalties,Importo Artista
Pseudospettri,Pseudotape vol. 1,0.488,30.00%,0.1464
Lanyard,Stanco,0.0015692712,15.00%,0.00023539067999999997
I miei migliori complimenti,Le cose cambieranno,0.000389328712,8.00%,3.114629696e-05
I miei migliori complimenti,Inter - Cagliari,6.8749024e-05,8.00%,5.49992192e-06
Rokas,Fantasmi,0.002389028584,0.00%,0.0
Rokas,Fantasmi,0.011547594216,0.00%,0.0
Rokas,Sabbie mobili,0.000389328712,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000778657424,0.00%,0.0
Rokas,Mostri contro fantasmi,6.8749024e-05,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000389328712,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000389328712,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000326557864,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000389328712,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.000674039344,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.000398295976,0.00%,0.0
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0048608,8.00%,0.00038886400000000005
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0083216,8.00%,0.000665728
Ziliani,Bar Franca,0.0048608,0.00%,0.0
I miei migliori complimenti,Proverbio Giapponese,0.0040288,8.00%,0.000322304
I miei migliori complimenti,I just wasted another summer,0.0022392,8.00%,0.000179136
I miei migliori complimenti,I just wasted another summer,0.0083216,8.00%,0.000665728
Kuzu and Tanca,Tela Bianca,0.0040288,0.00%,0.0
Kuzu and Tanca,Tela Bianca,0.0214936,0.00%,0.0
Refo,BLUE,0.0166424,4.00%,0.0006656960000000001
I miei migliori complimenti,I just wasted another summer,0.0065744,8.00%,0.000525952
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.012902212,8.00%,0.00103217696
testacoda,spari,0.00153544,0.00%,0.0
Pseudospettri,Pseudotape vol. 1,0.012902212,30.00%,0.0038706635999999997
Pseudospettri,Pseudotape vol. 1,0.0147366112,30.00%,0.004420983359999999
I miei migliori complimenti,Sabato,0.059656,8.00%,0.00477248
I miei migliori complimenti,Sabato,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0064,8.00%,0.0005120000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00256,8.00%,0.00020480000000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0091384,8.00%,0.000731072
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00256,8.00%,0.00020480000000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0202032,8.00%,0.0016162560000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0397704,8.00%,0.0031816319999999998
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0128,8.00%,0.0010240000000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0158704,8.00%,0.001269632
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0497128,8.00%,0.003977024
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0397704,8.00%,0.0031816319999999998
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.1093688,8.00%,0.008749504
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00128,8.00%,0.00010240000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.01024,8.00%,0.0008192000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00384,8.00%,0.00030720000000000004
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0158704,8.00%,0.001269632
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0397704,8.00%,0.0031816319999999998
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0795408,8.00%,0.0063632639999999996
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.90478,8.00%,0.0723824
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0158704,8.00%,0.001269632
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.01792,8.00%,0.0014336
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.1904424,8.00%,0.015235392000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00128,8.00%,0.00010240000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00256,8.00%,0.00020480000000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.09088,8.00%,0.007270400000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0033672,8.00%,0.000269376
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0101016,8.00%,0.0008081280000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0198856,8.00%,0.001590848
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
I miei migliori complimenti,Le cose cambieranno,0.0101016,8.00%,0.0008081280000000001
I miei migliori complimenti,Le cose cambieranno,0.0198856,8.00%,0.001590848
I miei migliori complimenti,Le cose cambieranno,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le cose cambieranno,0.0067344,8.00%,0.000538752
I miei migliori complimenti,Le cose cambieranno,0.0198856,8.00%,0.001590848
I miei migliori complimenti,Le cose cambieranno,0.0067344,8.00%,0.000538752
I miei migliori complimenti,Le cose cambieranno,0.0198856,8.00%,0.001590848
I miei migliori complimenti,Le cose cambieranno,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le cose cambieranno,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le cose cambieranno,0.03174,8.00%,0.0025391999999999997
Ziliani,Bar Franca,0.0795408,0.00%,0.0
Ziliani,Bar Franca,0.0182768,0.00%,0.0
I miei migliori complimenti,Inter - Cagliari,0.0033672,8.00%,0.000269376
I miei migliori complimenti,Inter - Cagliari,0.00384,8.00%,0.00030720000000000004
I miei migliori complimenti,Inter - Cagliari,0.0795408,8.00%,0.0063632639999999996
I miei migliori complimenti,Inter - Cagliari,0.03174,8.00%,0.0025391999999999997
I miei migliori complimenti,Proverbio Giapponese,0.059656,8.00%,0.00477248
I miei migliori complimenti,Proverbio Giapponese,0.0091384,8.00%,0.000731072
I miei migliori complimenti,Proverbio Giapponese,0.0079352,8.00%,0.000634816
testacoda,guasto,0.00128,0.00%,0.0
I miei migliori complimenti,Le femmine i maschi,0.0158704,8.00%,0.001269632
I miei migliori complimenti,Le femmine i maschi,0.0795408,8.00%,0.0063632639999999996
I miei migliori complimenti,Le femmine i maschi,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le femmine i maschi,0.016836,8.00%,0.00134688
I miei migliori complimenti,Le femmine i maschi,0.0099424,8.00%,0.000795392
I miei migliori complimenti,Le femmine i maschi,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le femmine i maschi,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le femmine i maschi,0.0067344,8.00%,0.000538752
I miei migliori complimenti,Le femmine i maschi,0.0198856,8.00%,0.001590848
I miei migliori complimenti,Da Paura,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Da Paura,0.0497128,8.00%,0.003977024
Rokas,Mostri,0.00128,0.00%,0.0
Rokas,Mostri,0.0099424,0.00%,0.0
testacoda,akira,0.00128,0.00%,0.0
testacoda,akira,0.0079352,0.00%,0.0
testacoda,morsi,0.00128,0.00%,0.0
testacoda,cani e chiodi,0.0099424,0.00%,0.0
I miei migliori complimenti,Strato,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Strato,0.0091384,8.00%,0.000731072
I miei migliori complimenti,Strato,0.0497128,8.00%,0.003977024
I miei migliori complimenti,I just wasted another summer,0.0158704,8.00%,0.001269632
I miei migliori complimenti,I just wasted another summer,0.0198856,8.00%,0.001590848
Rokas featuring I miei migliori complimenti,Pesci rossi,0.029828,0.00%,0.0
Rokas featuring I miei migliori complimenti,Pesci rossi,0.00256,0.00%,0.0
Rokas,Mostri contro fantasmi,0.01152,0.00%,0.0
Rokas,Mostri contro fantasmi,0.2221824,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.1590824,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0198856,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0134688,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00256,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0079352,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00256,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0182768,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.0182768,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.00128,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.0033672,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.0099424,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.0872864,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.0456928,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.013616,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.06912,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.2783936,0.00%,0.0
Pseudospettri,Pseudotape vol. 1,0.00128,30.00%,0.000384
Pseudospettri,Pseudotape vol. 1,0.0099424,30.00%,0.00298272
☆ ELEONORA ☆ and Haru,senza un perché,0.0099424,0.00%,0.0
☆ ELEONORA ☆ and Haru,rumore,0.00256,0.00%,0.0
Refo,BLUE,0.0158704,4.00%,0.000634816
Refo,BLUE,0.0795408,4.00%,0.0031816319999999998
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.030149258704,0.00%,0.0
Kuzu,Apulia,0.007537311912,0.00%,0.0
I miei migliori complimenti,Le femmine i maschi,0.00396801432,8.00%,0.0003174411456
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.004044983336,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.000424450496,0.00%,0.0
Kuzu and Oitido,Argan,0.000641906648,0.00%,0.0
☆ ELEONORA ☆ and Haru,senza un perché,0.001354804136,0.00%,0.0
Pseudospettri,Summertape,0.00396801432,30.00%,0.001190404296
Refo featuring Charmaine Giulia,GARDEN,0.000680764792,0.00%,0.0
I miei migliori complimenti,Le cose cambieranno,0.000336404760553,8.00%,2.6912380844239997e-05
Rokas,Mostri,0.000336404760553,0.00%,0.0
I miei migliori complimenti,Le cose cambieranno,0.00408,8.00%,0.0003264
I miei migliori complimenti,Le femmine i maschi,0.00126448,8.00%,0.0001011584
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00176,8.00%,0.0001408
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00616,8.00%,0.0004927999999999999
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0088,8.00%,0.0007040000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00176,8.00%,0.0001408
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.09064,8.00%,0.0072512
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00264,8.00%,0.0002112
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00264,8.00%,0.0002112
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00176,8.00%,0.0001408
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00352,8.00%,0.0002816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.06624,8.00%,0.0052992
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.02944,8.00%,0.0023552
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00264,8.00%,0.0002112
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.05704,8.00%,0.0045632
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00176,8.00%,0.0001408
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00704,8.00%,0.0005632
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00176,8.00%,0.0001408
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00176,8.00%,0.0001408
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00184,8.00%,0.0001472
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00264,8.00%,0.0002112
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.02112,8.00%,0.0016896
I miei migliori complimenti,Le cose cambieranno,0.00176,8.00%,0.0001408
I miei migliori complimenti,Le cose cambieranno,0.00088,8.00%,7.04e-05
testacoda,morire va di moda,0.00088,0.00%,0.0
Ziliani,Bar Franca,0.00184,0.00%,0.0
Ziliani,Bar Franca,0.00176,0.00%,0.0
I miei migliori complimenti,Inter - Cagliari,0.00176,8.00%,0.0001408
I miei migliori complimenti,Inter - Cagliari,0.00264,8.00%,0.0002112
I miei migliori complimenti,Inter - Cagliari,0.00088,8.00%,7.04e-05
Rokas,Cattivo,0.00088,0.00%,0.0
I miei migliori complimenti,Proverbio Giapponese,0.00088,8.00%,7.04e-05
testacoda,È proprio una cattiveria,0.00088,0.00%,0.0
Rokas,Fantasmi,0.00184,0.00%,0.0
Rokas,Fantasmi,0.00088,0.00%,0.0
testacoda,guasto,0.00184,0.00%,0.0
I miei migliori complimenti,Le femmine i maschi,0.00368,8.00%,0.0002944
I miei migliori complimenti,Le femmine i maschi,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le femmine i maschi,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le femmine i maschi,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le femmine i maschi,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le femmine i maschi,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le femmine i maschi,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Le femmine i maschi,0.00184,8.00%,0.0001472
Rokas,Mostri,0.00088,0.00%,0.0
Rokas,Mostri,0.00176,0.00%,0.0
testacoda,cani e chiodi,0.00088,0.00%,0.0
I miei migliori complimenti,Strato,0.00088,8.00%,7.04e-05
I miei migliori complimenti,Strato,0.00088,8.00%,7.04e-05
I miei migliori complimenti,I just wasted another summer,0.00088,8.00%,7.04e-05
I miei migliori complimenti,I just wasted another summer,0.00088,8.00%,7.04e-05
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00184,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00176,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00352,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00352,0.00%,0.0
Rokas,Mostri contro fantasmi,0.01232,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00368,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00088,0.00%,0.0
Rokas,Mostri contro fantasmi,0.02208,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.01056,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.01104,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.02816,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.00264,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.0088,0.00%,0.0
Pseudospettri,Pseudotape vol. 1,0.00184,30.00%,0.000552
Pseudospettri,Pseudotape vol. 1,0.00088,30.00%,0.000264
☆ ELEONORA ☆ and Haru,senza un perché,0.00088,0.00%,0.0
Refo,BLUE,0.00352,4.00%,0.0001408
Refo,BLUE,0.00176,4.00%,7.04e-05
Refo,BLUE,0.00088,4.00%,3.52e-05
Refo,BLUE,0.00088,4.00%,3.52e-05
I miei migliori complimenti,Le cose cambieranno,0.000637097859271,8.00%,5.0967828741680006e-05
Rokas,Mostri contro fantasmi,0.00136,0.00%,0.0
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.001482653314527,8.00%,0.00011861226516215999
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.001482653314527,8.00%,0.00011861226516215999
Kuzu and Tanca,Tela Bianca,0.001482653314527,0.00%,0.0
Kuzu,Apulia,0.002965306629054,0.00%,0.0
I miei migliori complimenti,Inter - Cagliari,0.72,8.00%,0.0576
I miei migliori complimenti,Le femmine i maschi,0.568,8.00%,0.045439999999999994
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.000863846432,8.00%,6.910771456000001e-05
Rokas,Nemico del cuore,0.000542519472,0.00%,0.0
Rokas,Nemico del cuore,0.000454341376,0.00%,0.0
Rokas,Nemico del cuore,0.000454341376,0.00%,0.0
Ziliani,Bar Franca,0.000542519472,0.00%,0.0
Ziliani,Bar Franca,0.000542519472,0.00%,0.0
Ziliani,Bar Franca,0.000542519472,0.00%,0.0
Ziliani,Bar Franca,0.000542519472,0.00%,0.0
I miei migliori complimenti,Proverbio Giapponese,0.000542519472,8.00%,4.3401557760000004e-05
I miei migliori complimenti,Proverbio Giapponese,0.000454341376,8.00%,3.634731008e-05
Rokas,Mostri,0.000542519472,0.00%,0.0
testacoda,akira,0.000542519472,0.00%,0.0
testacoda,akira,0.000454341376,0.00%,0.0
testacoda,akira,0.000863846432,0.00%,0.0
I miei migliori complimenti,Strato,0.000542519472,8.00%,4.3401557760000004e-05
I miei migliori complimenti,Strato,0.000542519472,8.00%,4.3401557760000004e-05
Rokas and Disme featuring Granato,Sveglio,0.000542519472,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000542519472,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000542519472,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000542519472,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000542519472,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000542519472,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000542519472,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000542519472,0.00%,0.0
Rokas featuring I miei migliori complimenti,Pesci rossi,0.000653115728,0.00%,0.0
Rokas featuring I miei migliori complimenti,Pesci rossi,0.000653115728,0.00%,0.0
Rokas featuring I miei migliori complimenti,Pesci rossi,0.001727692864,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000454341376,0.00%,0.0
Rokas,Mostri contro fantasmi,0.001727692864,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000542519472,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000454341376,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000454341376,0.00%,0.0
Rokas,Mostri contro fantasmi,0.009683897848,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.000542519472,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.000542519472,0.00%,0.0
Pseudospettri,Pseudotape vol. 1,0.00926990916,30.00%,0.0027809727479999997
Refo,BLUE,0.00926990916,4.00%,0.00037079636639999997
I miei migliori complimenti,Proverbio Giapponese,0.000129278056,8.00%,1.034224448e-05
I miei migliori complimenti,Proverbio Giapponese,0.002672991944,8.00%,0.00021383935552
testacoda,guasto,0.000817515568,0.00%,0.0
Rokas,Mostri,0.000817515568,0.00%,0.0
I miei migliori complimenti,Strato,0.000129278056,8.00%,1.034224448e-05
Rokas,Mostri contro fantasmi,0.001355551408,0.00%,0.0
Pseudospettri,Pseudotape vol. 1,0.00445747748,30.00%,0.001337243244
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.000817515568,8.00%,6.540124544e-05
I miei migliori complimenti,Le femmine i maschi,0.004351364856,8.00%,0.00034810918848
testacoda,morsi,0.002711850088,0.00%,0.0
I miei migliori complimenti,Strato,0.007613207136,8.00%,0.00060905657088
I miei migliori complimenti,Strato,0.001244955152,8.00%,9.959641216e-05
I miei migliori complimenti,Strato,0.002771631848,8.00%,0.00022173054784000002
I miei migliori complimenti,Strato,0.001085786216,8.00%,8.686289728000001e-05
Rokas,Mostri contro fantasmi,0.001355551408,0.00%,0.0
Rokas,Mostri contro fantasmi,0.012577335032,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.006289041152,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.001386936832,0.00%,0.0
☆ ELEONORA ☆ and Haru,alibi,0.012577335032,0.00%,0.0
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.002771631848,8.00%,0.00022173054784000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.003511431128,8.00%,0.00028091449024
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.007201460264,8.00%,0.00057611682112
testacoda,morsi,0.010819004016,0.00%,0.0
I miei migliori complimenti,Strato,0.00140487136,8.00%,0.00011238970880000001
I miei migliori complimenti,Strato,0.001981018072,8.00%,0.00015848144576
Pseudospettri,Pseudotape vol. 1,0.001981018072,30.00%,0.0005943054216
Pseudospettri,Pseudotape vol. 1,0.006085783168,30.00%,0.0018257349503999999
Pseudospettri,Summertape,0.005409502008,30.00%,0.0016228506024
Pseudospettri,Summertape,0.010047819312,30.00%,0.0030143457936
Kuzu,Apulia,0.010047819312,0.00%,0.0
Refo,BLUE,0.003511431128,4.00%,0.00014045724512
Refo,BLUE,0.010047819312,4.00%,0.00040191277248000003
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00833581916,8.00%,0.0006668655328000001
Rokas,Nemico del cuore,0.006448210088,0.00%,0.0
testacoda,guasto,0.001755341928,0.00%,0.0
Rokas,Brutte cose,0.004028543352,0.00%,0.0
I miei migliori complimenti,Le femmine i maschi,0.00833581916,8.00%,0.0006668655328000001
testacoda,cani e chiodi,0.001755341928,0.00%,0.0
I miei migliori complimenti,I just wasted another summer,0.006342844736,8.00%,0.00050742757888
Rokas,Mostri contro fantasmi,0.004119710536,0.00%,0.0
Rokas,Mostri contro fantasmi,0.004119710536,0.00%,0.0
Rokas,Mostri contro fantasmi,0.004119710536,0.00%,0.0
Rokas,Mostri contro fantasmi,0.004119710536,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00363547828,0.00%,0.0
Rokas,Mostri contro fantasmi,0.005292927576,0.00%,0.0
Rokas,Mostri contro fantasmi,0.004028543352,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.000106859896,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.00833581916,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.00727095656,0.00%,0.0
Pseudospettri,Pseudotape vol. 1,0.003985948848,30.00%,0.0011957846543999998
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00626587572,8.00%,0.0005012700576
Ziliani,Bar Franca,0.001177700672,0.00%,0.0
Rokas,Fantasmi,0.001967567176,0.00%,0.0
Rokas,Fantasmi,0.001967567176,0.00%,0.0
Rokas,Fantasmi,0.001967567176,0.00%,0.0
Rokas,Fantasmi,0.001967567176,0.00%,0.0
Rokas,Fantasmi,0.001967567176,0.00%,0.0
testacoda,guasto,0.001755341928,0.00%,0.0
I miei migliori complimenti,Strato,0.000257061568,8.00%,2.056492544e-05
Rokas,Mostri contro fantasmi,0.001967567176,0.00%,0.0
Rokas,Mostri contro fantasmi,0.001967567176,0.00%,0.0
Rokas,Mostri contro fantasmi,0.001967567176,0.00%,0.0
Rokas,Mostri contro fantasmi,0.001967567176,0.00%,0.0
Rokas,Mostri contro fantasmi,0.001967567176,0.00%,0.0
Rokas,Mostri contro fantasmi,0.001967567176,0.00%,0.0
Rokas,Mostri contro fantasmi,0.001967567176,0.00%,0.0
Rokas,Mostri contro fantasmi,0.003935134352,0.00%,0.0
Rokas,Mostri contro fantasmi,0.001967567176,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.01040949896,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.001755341928,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.001755341928,0.00%,0.0
Pseudospettri,Summertape,0.006342844736,30.00%,0.0019028534207999998
Pseudospettri,Summertape,0.002493646664,30.00%,0.0007480939992
Refo,BLUE,0.00314975148,4.00%,0.0001259900592
